case_id,duration_min,expected_speaker_k,asr_windows,asr_words,proxy_cer,mixed_token_error_rate,critical_information_preservation_score,proxy_fact_textual_recall,critical_proxy_fact_textual_recall,reviewed_char_fraction,detectable_error_recall_yellow_red,proxy_word_ece,detected_speaker_count,acoustic_speaker_mapping_coverage,downstream_summary_fact_f1,downstream_critical_fact_recall,reference_type,formal_quality_claim_allowed
case_0068,4.6784,2,10,726,0.1444582814445828,0.1444582814445828,0.7878787878787878,0.8,0.7142857142857143,0.16027397260273973,0.8648648648648649,0.017561677969970393,4,0.9393939393939394,0.16,0.0,llm_multi_asr_consensus_proxy,False
case_0057,5.021199999999999,6,11,985,0.14782608695652175,0.1468599033816425,1.0,1.0,1.0,0.23971915747241726,0.7011494252873564,0.0455207657121452,4,0.8629441624365483,0.6153846153846154,0.5714285714285714,llm_multi_asr_consensus_proxy,False
case_0040,12.7172,6,26,1870,0.29734436221158034,0.29647366129734437,0.8833333333333333,0.6666666666666666,0.6666666666666666,0.40399789584429247,0.8130081300813008,0.07536933348873029,4,0.9155080213903743,0.27027027027027023,0.2222222222222222,llm_multi_asr_consensus_proxy,False
case_0008,14.3164,4,29,923,0.22603978300180833,0.2187784867821331,0.8727272727272726,0.8888888888888888,0.8571428571428571,0.33404482390608325,0.7866666666666666,0.03475457084885205,4,0.9111592632719393,0.5333333333333333,0.6,llm_multi_asr_consensus_proxy,False
case_0021,37.864000000000004,5,76,4954,0.24450402144772118,0.24423386375826928,0.8564102564102564,0.4,0.4666666666666667,0.3036316729509823,0.8114630467571644,0.08202488165634919,4,0.9188534517561566,0.20833333333333331,0.3,llm_multi_asr_consensus_proxy,False
